EXEC_TIME,MSIZE,BSIZE,CPUS_PER_NODE,NUM_NODES,NUM_CPUS,CPU_AVG,MEM_AVG,CPU_AVG_USED,MEM_AVG_USED,Linear Regression_FILTERED,Polynomial Regression_FILTERED,Random Forest_FILTERED,FFNN_FILTERED,XGBoost_FILTERED
4731,13,1200,112,5,448,35.54,16.79,159.22,75.22,3613.5635628876284,4477.890986310032,4611.592,4728.10166015625,4701.903
1827,17,800,112,3,224,75.24,17.37,168.54,38.91,2389.7958110892014,2638.4602991752063,1822.83,2114.627978515625,1890.6143
41,22,128,112,4,336,28.27,14.25,94.99,47.88,162.0537454415254,-84.90583470253279,70.962,-3.5107723236083985,99.37815
2991,13,1000,112,16,1680,8.54,14.11,143.47,237.05,2700.826876073247,2402.735779305002,2872.92,2851.69111328125,2830.538
1901,19,512,112,2,112,79.75,17.03,89.32,19.07,1446.8947872604374,1685.8766852926656,1642.124,1779.7273193359374,1773.168
56,13,200,112,8,784,8.04,13.43,63.03,105.29,-191.74720548667062,126.65811091724498,74.914,38.597459173202516,67.46814
265,17,400,112,8,784,27.52,14.61,215.76,114.54,812.2519627846566,247.21622625935646,260.93,256.0993133544922,266.76767
5668,15,1200,112,4,336,62.15,19.67,208.82,66.09,3753.9913868283024,5667.480275140607,5444.85,5368.7470703125,5609.848
2010,10,1000,112,6,560,17.31,14.42,96.94,80.75,2657.902171999207,1793.0868386095467,1982.5909333333336,2086.6915283203125,1987.9402
52,18,200,112,3,224,38.99,14.38,87.34,32.21,195.78257867739921,218.9367711275237,57.442,87.52023526728154,50.072243
16,13,128,112,2,112,30.8,14.42,34.5,16.15,-375.0748790793059,17.44057781764218,22.846,66.43725185394287,13.574656
55,8,128,112,6,560,1.55,13.55,8.68,75.88,-748.0205735184218,35.75948794322272,53.522666666666666,-20.882766342163087,63.306664
698,15,600,112,5,448,24.55,14.94,109.98,66.93,1482.472197583686,792.8931648827499,694.648,685.5347778320313,703.6273
3303,15,1000,112,4,336,33.61,16.28,112.93,54.7,3001.679686988415,3346.1971346882897,3245.87,3089.09560546875,3199.6858
1301,17,512,112,2,112,82.27,16.51,92.14,18.49,1321.0510530447177,1270.3962824525593,1250.034,1299.609716796875,1260.316
2051,10,1000,112,12,1232,7.92,13.81,97.57,170.14,2570.3976336494834,2378.8953124379564,2058.1126666666664,1965.7235107421875,2034.5486
51,18,200,112,5,448,31.0,13.55,138.88,60.7,166.61439922749116,18.961425243078224,53.802,70.14801864624023,41.597363
21,14,128,112,2,112,29.47,14.28,33.01,15.99,-312.15301197144595,59.23026702101134,25.858,60.871995544433595,16.639181
346,12,512,112,5,448,26.37,14.54,118.14,65.14,962.6894483305558,354.153487798337,356.78933333333333,391.6959655761719,339.50122
55,12,200,112,8,784,5.89,13.9,46.18,108.98,-254.66907259453058,147.90747777871616,77.544,31.110079956054687,68.4102
597,13,600,112,5,448,33.26,14.65,149.0,65.63,1356.628463367966,592.1848930190787,587.702,627.7947509765625,584.6719
471,16,512,112,5,448,47.39,15.21,212.31,68.14,1214.3769167619957,618.9269879462977,481.374,494.6788757324219,519.1232
551,12,600,112,5,448,28.43,14.5,127.37,64.96,1293.7065962601064,508.2473329477707,540.938,595.9294555664062,555.4083
1897,17,800,112,4,336,48.0,16.03,161.28,53.86,2375.2117213642478,2375.349382065137,1851.004,1886.83203125,1891.2838
3699,19,800,112,3,224,49.9,17.12,111.78,38.35,2515.6395453049213,3363.119722677104,3178.876,3157.541796875,3427.925
792,64,200,112,6,560,74.9,15.54,419.44,87.02,3046.436196464095,-351.981179501606,791.722,608.3188537597656,831.36414
4691,13,1200,112,4,336,31.74,16.96,106.65,56.99,3628.1476526125825,4545.859810702536,4587.954,4708.92412109375,4718.69
